game_date,start_time_utc,away_team,home_team,away_score,home_score,winner,away_implied_win_prob,home_implied_win_prob
2026-04-05,2026-04-05 20:07:00+00:00,Seattle Mariners,Los Angeles Angels,7,8,Los Angeles Angels,0.61,0.39
2026-04-05,2026-04-05 23:20:00+00:00,St. Louis Cardinals,Detroit Tigers,5,3,St. Louis Cardinals,0.45,0.55
2026-04-06,2026-04-06 20:10:00+00:00,Chicago Cubs,Tampa Bay Rays,4,6,Tampa Bay Rays,0.47,0.53
2026-04-06,2026-04-06 22:10:00+00:00,Kansas City Royals,Cleveland Guardians,4,2,Kansas City Royals,0.48,0.52
2026-04-06,2026-04-06 22:40:00+00:00,San Diego Padres,Pittsburgh Pirates,5,0,San Diego Padres,0.44,0.56
2026-04-06,2026-04-06 22:40:00+00:00,Cincinnati Reds,Miami Marlins,2,0,Cincinnati Reds,0.45,0.55
2026-04-06,2026-04-06 22:45:00+00:00,St. Louis Cardinals,Washington Nationals,6,9,Washington Nationals,0.52,0.48
2026-04-06,2026-04-06 22:45:00+00:00,Milwaukee Brewers,Boston Red Sox,8,6,Milwaukee Brewers,0.54,0.46
2026-04-06,2026-04-06 23:07:00+00:00,Los Angeles Dodgers,Toronto Blue Jays,14,2,Los Angeles Dodgers,0.56,0.44
2026-04-06,2026-04-06 23:40:00+00:00,Detroit Tigers,Minnesota Twins,3,7,Minnesota Twins,0.48,0.52
2026-04-06,2026-04-06 23:40:00+00:00,Baltimore Orioles,Chicago White Sox,2,1,Baltimore Orioles,0.57,0.43
2026-04-07,2026-04-07 00:05:00+00:00,Seattle Mariners,Texas Rangers,1,2,Texas Rangers,0.53,0.47
2026-04-07,2026-04-07 00:40:00+00:00,Houston Astros,Colorado Rockies,7,9,Colorado Rockies,0.62,0.38
2026-04-07,2026-04-07 01:38:00+00:00,Atlanta Braves,Los Angeles Angels,2,6,Los Angeles Angels,0.56,0.44
2026-04-07,2026-04-07 01:45:00+00:00,Philadelphia Phillies,San Francisco Giants,6,4,Philadelphia Phillies,0.58,0.42
2026-04-07,2026-04-07 17:10:00+00:00,Kansas City Royals,Cleveland Guardians,1,2,Cleveland Guardians,0.48,0.52
2026-04-07,2026-04-07 19:10:00+00:00,Baltimore Orioles,Chicago White Sox,4,2,Baltimore Orioles,0.59,0.41
2026-04-07,2026-04-07 22:40:00+00:00,San Diego Padres,Pittsburgh Pirates,1,7,Pittsburgh Pirates,0.43,0.57
2026-04-07,2026-04-07 22:40:00+00:00,Chicago Cubs,Tampa Bay Rays,9,2,Chicago Cubs,0.49,0.51
2026-04-07,2026-04-07 22:40:00+00:00,Cincinnati Reds,Miami Marlins,6,3,Cincinnati Reds,0.44,0.56
2026-04-07,2026-04-07 22:45:00+00:00,St. Louis Cardinals,Washington Nationals,7,6,St. Louis Cardinals,0.49,0.51
2026-04-07,2026-04-07 22:45:00+00:00,Milwaukee Brewers,Boston Red Sox,2,3,Boston Red Sox,0.42,0.58
2026-04-07,2026-04-07 23:07:00+00:00,Los Angeles Dodgers,Toronto Blue Jays,4,1,Los Angeles Dodgers,0.59,0.41
2026-04-07,2026-04-07 23:40:00+00:00,Detroit Tigers,Minnesota Twins,2,4,Minnesota Twins,0.61,0.39
2026-04-08,2026-04-08 00:05:00+00:00,Seattle Mariners,Texas Rangers,2,3,Texas Rangers,0.53,0.47
2026-04-08,2026-04-08 00:40:00+00:00,Houston Astros,Colorado Rockies,1,5,Colorado Rockies,0.6,0.4
2026-04-08,2026-04-08 01:38:00+00:00,Atlanta Braves,Los Angeles Angels,7,2,Atlanta Braves,0.55,0.45
2026-04-08,2026-04-08 01:45:00+00:00,Philadelphia Phillies,San Francisco Giants,0,6,San Francisco Giants,0.55,0.45
2026-04-08,2026-04-08 16:35:00+00:00,San Diego Padres,Pittsburgh Pirates,8,2,San Diego Padres,0.52,0.48
2026-04-08,2026-04-08 17:10:00+00:00,Kansas City Royals,Cleveland Guardians,2,10,Cleveland Guardians,0.55,0.45
2026-04-08,2026-04-08 17:35:00+00:00,Milwaukee Brewers,Boston Red Sox,0,5,Boston Red Sox,0.45,0.55
2026-04-08,2026-04-08 18:10:00+00:00,Baltimore Orioles,Chicago White Sox,5,3,Baltimore Orioles,0.58,0.42
2026-04-08,2026-04-08 18:35:00+00:00,Seattle Mariners,Texas Rangers,0,3,Texas Rangers,0.55,0.45
2026-04-08,2026-04-08 19:07:00+00:00,Los Angeles Dodgers,Toronto Blue Jays,3,4,Toronto Blue Jays,0.59,0.41
2026-04-08,2026-04-08 19:10:00+00:00,Houston Astros,Colorado Rockies,1,9,Colorado Rockies,0.57,0.43
2026-04-08,2026-04-08 19:45:00+00:00,Philadelphia Phillies,San Francisco Giants,0,5,San Francisco Giants,0.56,0.44
2026-04-08,2026-04-08 20:05:00+00:00,St. Louis Cardinals,Washington Nationals,6,1,St. Louis Cardinals,0.54,0.46
2026-04-08,2026-04-08 20:07:00+00:00,Atlanta Braves,Los Angeles Angels,8,2,Atlanta Braves,0.54,0.46
2026-04-08,2026-04-08 22:40:00+00:00,Chicago Cubs,Tampa Bay Rays,6,2,Chicago Cubs,0.5,0.5
