game_date,start_time_utc,away_team,home_team,away_score,home_score,winner,away_implied_win_prob,home_implied_win_prob
2026-07-05,2026-07-05 20:00:00+00:00,San Francisco Giants,Colorado Rockies,6,7,Colorado Rockies,0.52,0.48
2026-07-05,2026-07-05 21:00:00+00:00,Toronto Blue Jays,Seattle Mariners,0,4,Seattle Mariners,0.48,0.52
2026-07-05,2026-07-05 23:20:00+00:00,San Diego Padres,Los Angeles Dodgers,5,2,San Diego Padres,0.33,0.67
2026-07-06,2026-07-06 18:10:00+00:00,Philadelphia Phillies,Kansas City Royals,1,15,Kansas City Royals,0.66,0.34
2026-07-06,2026-07-06 22:40:00+00:00,New York Yankees,Tampa Bay Rays,5,1,New York Yankees,0.54,0.46
2026-07-06,2026-07-06 22:45:00+00:00,Houston Astros,Washington Nationals,11,12,Washington Nationals,0.49,0.51
2026-07-06,2026-07-06 23:15:00+00:00,New York Mets,Atlanta Braves,7,6,New York Mets,0.46,0.54
2026-07-06,2026-07-06 23:45:00+00:00,Milwaukee Brewers,St. Louis Cardinals,4,3,Milwaukee Brewers,0.53,0.47
2026-07-07,2026-07-07 01:45:00+00:00,Toronto Blue Jays,San Francisco Giants,1,10,San Francisco Giants,0.5,0.5
2026-07-07,2026-07-07 02:10:00+00:00,Colorado Rockies,Los Angeles Dodgers,7,8,Los Angeles Dodgers,0.31,0.69
2026-07-07,2026-07-07 18:15:00+00:00,Milwaukee Brewers,St. Louis Cardinals,4,3,Milwaukee Brewers,0.54,0.46
2026-07-07,2026-07-07 23:45:00+00:00,Milwaukee Brewers,St. Louis Cardinals,10,2,Milwaukee Brewers,0.51,0.49
2026-07-07,2026-07-07 22:35:00+00:00,Chicago Cubs,Baltimore Orioles,5,2,Chicago Cubs,0.52,0.48
2026-07-07,2026-07-07 22:40:00+00:00,Atlanta Braves,Pittsburgh Pirates,4,12,Pittsburgh Pirates,0.43,0.57
2026-07-07,2026-07-07 22:40:00+00:00,Seattle Mariners,Miami Marlins,5,6,Miami Marlins,0.47,0.53
2026-07-07,2026-07-07 22:40:00+00:00,New York Yankees,Tampa Bay Rays,4,6,Tampa Bay Rays,0.47,0.53
2026-07-07,2026-07-07 22:45:00+00:00,Houston Astros,Washington Nationals,6,3,Houston Astros,0.48,0.52
2026-07-07,2026-07-07 23:10:00+00:00,Kansas City Royals,New York Mets,16,12,Kansas City Royals,0.42,0.58
2026-07-07,2026-07-07 23:10:00+00:00,Philadelphia Phillies,Cincinnati Reds,4,1,Philadelphia Phillies,0.62,0.38
2026-07-07,2026-07-07 23:40:00+00:00,Cleveland Guardians,Minnesota Twins,1,3,Minnesota Twins,0.49,0.51
2026-07-07,2026-07-07 23:40:00+00:00,Boston Red Sox,Chicago White Sox,8,1,Boston Red Sox,0.54,0.46
2026-07-08,2026-07-08 00:05:00+00:00,Los Angeles Angels,Texas Rangers,3,8,Texas Rangers,0.4,0.6
2026-07-08,2026-07-08 01:45:00+00:00,Toronto Blue Jays,San Francisco Giants,9,3,Toronto Blue Jays,0.51,0.49
2026-07-08,2026-07-08 02:10:00+00:00,Colorado Rockies,Los Angeles Dodgers,4,3,Colorado Rockies,0.33,0.67
2026-07-08,2026-07-08 19:45:00+00:00,Toronto Blue Jays,San Francisco Giants,10,0,Toronto Blue Jays,0.55,0.45
2026-07-08,2026-07-08 22:35:00+00:00,Chicago Cubs,Baltimore Orioles,9,7,Chicago Cubs,0.47,0.53
2026-07-08,2026-07-08 22:40:00+00:00,Atlanta Braves,Pittsburgh Pirates,3,0,Atlanta Braves,0.49,0.51
2026-07-08,2026-07-08 22:40:00+00:00,Seattle Mariners,Miami Marlins,0,2,Miami Marlins,0.55,0.45
2026-07-08,2026-07-08 22:40:00+00:00,New York Yankees,Tampa Bay Rays,0,3,Tampa Bay Rays,0.48,0.52
2026-07-08,2026-07-08 22:45:00+00:00,Houston Astros,Washington Nationals,2,8,Washington Nationals,0.45,0.55
2026-07-08,2026-07-08 23:10:00+00:00,Kansas City Royals,New York Mets,2,6,New York Mets,0.37,0.63
2026-07-08,2026-07-08 23:10:00+00:00,Philadelphia Phillies,Cincinnati Reds,5,11,Cincinnati Reds,0.44,0.56
2026-07-08,2026-07-08 23:40:00+00:00,Cleveland Guardians,Minnesota Twins,5,6,Minnesota Twins,0.47,0.53
2026-07-08,2026-07-08 23:40:00+00:00,Boston Red Sox,Chicago White Sox,5,0,Boston Red Sox,0.5,0.5
2026-07-08,2026-07-08 23:45:00+00:00,Milwaukee Brewers,St. Louis Cardinals,1,5,St. Louis Cardinals,0.58,0.42
2026-07-09,2026-07-09 00:05:00+00:00,Los Angeles Angels,Texas Rangers,13,1,Los Angeles Angels,0.43,0.57
2026-07-09,2026-07-09 16:35:00+00:00,Atlanta Braves,Pittsburgh Pirates,10,5,Atlanta Braves,0.53,0.47
2026-07-09,2026-07-09 17:10:00+00:00,Kansas City Royals,New York Mets,3,7,New York Mets,0.45,0.55
2026-07-09,2026-07-09 17:10:00+00:00,New York Yankees,Tampa Bay Rays,12,4,New York Yankees,0.41,0.59
2026-07-09,2026-07-09 17:35:00+00:00,Chicago Cubs,Baltimore Orioles,2,3,Baltimore Orioles,0.46,0.54
2026-07-09,2026-07-09 17:40:00+00:00,Cleveland Guardians,Minnesota Twins,5,2,Cleveland Guardians,0.55,0.45
2026-07-09,2026-07-09 18:10:00+00:00,Boston Red Sox,Chicago White Sox,2,1,Boston Red Sox,0.49,0.51
2026-07-09,2026-07-09 22:40:00+00:00,Seattle Mariners,Miami Marlins,4,8,Miami Marlins,0.55,0.45
2026-07-09,2026-07-09 23:10:00+00:00,Philadelphia Phillies,Cincinnati Reds,1,0,Philadelphia Phillies,0.62,0.38
2026-07-09,2026-07-09 23:45:00+00:00,Milwaukee Brewers,St. Louis Cardinals,8,4,Milwaukee Brewers,0.55,0.45
2026-07-10,2026-07-10 01:45:00+00:00,Colorado Rockies,San Francisco Giants,2,8,San Francisco Giants,0.42,0.58
2026-07-10,2026-07-10 22:40:00+00:00,Philadelphia Phillies,Detroit Tigers,2,10,Detroit Tigers,0.49,0.51
2026-07-10,2026-07-10 22:45:00+00:00,New York Yankees,Washington Nationals,5,3,New York Yankees,0.6,0.4
2026-07-10,2026-07-10 23:05:00+00:00,Kansas City Royals,Baltimore Orioles,3,5,Baltimore Orioles,0.42,0.58
2026-07-10,2026-07-10 23:10:00+00:00,Chicago Cubs,Cincinnati Reds,0,4,Cincinnati Reds,0.52,0.48
2026-07-10,2026-07-10 23:10:00+00:00,Seattle Mariners,Tampa Bay Rays,2,7,Tampa Bay Rays,0.48,0.52
2026-07-10,2026-07-10 23:10:00+00:00,Cleveland Guardians,Miami Marlins,3,2,Cleveland Guardians,0.48,0.52
2026-07-10,2026-07-10 23:15:00+00:00,Boston Red Sox,New York Mets,6,2,Boston Red Sox,0.43,0.57
2026-07-11,2026-07-11 00:05:00+00:00,Houston Astros,Texas Rangers,3,7,Texas Rangers,0.47,0.53
2026-07-11,2026-07-11 00:10:00+00:00,Los Angeles Angels,Minnesota Twins,4,3,Los Angeles Angels,0.38,0.62
2026-07-11,2026-07-11 00:15:00+00:00,Atlanta Braves,St. Louis Cardinals,1,2,St. Louis Cardinals,0.52,0.48
2026-07-11,2026-07-11 01:40:00+00:00,Toronto Blue Jays,San Diego Padres,5,3,Toronto Blue Jays,0.47,0.53
2026-07-11,2026-07-11 02:15:00+00:00,Colorado Rockies,San Francisco Giants,4,3,Colorado Rockies,0.43,0.57
2026-07-11,2026-07-11 16:05:00+00:00,Milwaukee Brewers,Pittsburgh Pirates,6,7,Pittsburgh Pirates,0.55,0.45
2026-07-11,2026-07-11 20:05:00+00:00,Milwaukee Brewers,Pittsburgh Pirates,2,3,Pittsburgh Pirates,0.56,0.44
2026-07-11,2026-07-11 18:10:00+00:00,Los Angeles Angels,Minnesota Twins,3,5,Minnesota Twins,0.39,0.61
2026-07-11,2026-07-11 20:05:00+00:00,Colorado Rockies,San Francisco Giants,2,4,San Francisco Giants,0.43,0.57
2026-07-11,2026-07-11 20:05:00+00:00,New York Yankees,Washington Nationals,4,2,New York Yankees,0.65,0.35
2026-07-11,2026-07-11 20:10:00+00:00,Boston Red Sox,New York Mets,4,0,Boston Red Sox,0.44,0.56
2026-07-11,2026-07-11 20:10:00+00:00,Seattle Mariners,Tampa Bay Rays,1,6,Tampa Bay Rays,0.5,0.5
2026-07-11,2026-07-11 20:10:00+00:00,Cleveland Guardians,Miami Marlins,4,1,Cleveland Guardians,0.41,0.59
2026-07-11,2026-07-11 22:10:00+00:00,Philadelphia Phillies,Detroit Tigers,4,2,Philadelphia Phillies,0.57,0.43
2026-07-11,2026-07-11 23:05:00+00:00,Kansas City Royals,Baltimore Orioles,1,6,Baltimore Orioles,0.42,0.58
2026-07-11,2026-07-11 23:05:00+00:00,Houston Astros,Texas Rangers,9,3,Houston Astros,0.49,0.51
2026-07-11,2026-07-11 23:10:00+00:00,Chicago Cubs,Cincinnati Reds,5,3,Chicago Cubs,0.49,0.51
2026-07-11,2026-07-11 23:15:00+00:00,Atlanta Braves,St. Louis Cardinals,1,4,St. Louis Cardinals,0.5,0.5
2026-07-12,2026-07-12 00:40:00+00:00,Toronto Blue Jays,San Diego Padres,7,8,San Diego Padres,0.51,0.49
2026-07-12,2026-07-12 16:15:00+00:00,Milwaukee Brewers,Pittsburgh Pirates,5,14,Pittsburgh Pirates,0.48,0.52
2026-07-12,2026-07-12 17:35:00+00:00,Kansas City Royals,Baltimore Orioles,2,8,Baltimore Orioles,0.42,0.58
2026-07-12,2026-07-12 17:35:00+00:00,New York Yankees,Washington Nationals,5,3,New York Yankees,0.49,0.51
2026-07-12,2026-07-12 17:40:00+00:00,Chicago Cubs,Cincinnati Reds,8,4,Chicago Cubs,0.55,0.45
2026-07-12,2026-07-12 17:40:00+00:00,Boston Red Sox,New York Mets,3,2,Boston Red Sox,0.52,0.48
2026-07-12,2026-07-12 17:40:00+00:00,Seattle Mariners,Tampa Bay Rays,8,2,Seattle Mariners,0.44,0.56
2026-07-12,2026-07-12 17:40:00+00:00,Philadelphia Phillies,Detroit Tigers,5,0,Philadelphia Phillies,0.46,0.54
2026-07-12,2026-07-12 17:40:00+00:00,Cleveland Guardians,Miami Marlins,5,2,Cleveland Guardians,0.49,0.51
2026-07-12,2026-07-12 18:10:00+00:00,Los Angeles Angels,Minnesota Twins,2,4,Minnesota Twins,0.45,0.55
2026-07-12,2026-07-12 18:15:00+00:00,Atlanta Braves,St. Louis Cardinals,4,3,Atlanta Braves,0.45,0.55
2026-07-12,2026-07-12 18:35:00+00:00,Houston Astros,Texas Rangers,5,6,Texas Rangers,0.45,0.55
2026-07-12,2026-07-12 20:05:00+00:00,Colorado Rockies,San Francisco Giants,1,3,San Francisco Giants,0.42,0.58
2026-07-12,2026-07-12 20:10:00+00:00,Toronto Blue Jays,San Diego Padres,4,5,San Diego Padres,0.55,0.45
2026-07-16,2026-07-16 22:10:00+00:00,New York Mets,Philadelphia Phillies,4,1,New York Mets,0.47,0.53
2026-07-17,2026-07-17 17:35:00+00:00,Tampa Bay Rays,Boston Red Sox,0,10,Boston Red Sox,0.49,0.51
2026-07-17,2026-07-17 23:10:00+00:00,Tampa Bay Rays,Boston Red Sox,3,5,Boston Red Sox,0.46,0.54
2026-07-17,2026-07-17 23:05:00+00:00,Los Angeles Dodgers,New York Yankees,2,1,Los Angeles Dodgers,0.52,0.48
2026-07-17,2026-07-17 23:15:00+00:00,Texas Rangers,Atlanta Braves,1,15,Atlanta Braves,0.34,0.66
2026-07-17,2026-07-17 23:15:00+00:00,Chicago White Sox,Toronto Blue Jays,12,4,Chicago White Sox,0.45,0.55
2026-07-17,2026-07-17 23:40:00+00:00,Miami Marlins,Milwaukee Brewers,1,2,Milwaukee Brewers,0.43,0.57
2026-07-18,2026-07-18 00:05:00+00:00,Minnesota Twins,Chicago Cubs,5,2,Minnesota Twins,0.43,0.57
2026-07-18,2026-07-18 00:10:00+00:00,Baltimore Orioles,Houston Astros,3,2,Baltimore Orioles,0.49,0.51
2026-07-18,2026-07-18 00:10:00+00:00,San Diego Padres,Kansas City Royals,6,7,Kansas City Royals,0.52,0.48
2026-07-18,2026-07-18 00:40:00+00:00,Cincinnati Reds,Colorado Rockies,7,2,Cincinnati Reds,0.53,0.47
2026-07-18,2026-07-18 01:38:00+00:00,Detroit Tigers,Los Angeles Angels,2,1,Detroit Tigers,0.63,0.37
2026-07-18,2026-07-18 02:10:00+00:00,San Francisco Giants,Seattle Mariners,7,0,San Francisco Giants,0.44,0.56
2026-07-18,2026-07-18 17:10:00+00:00,Pittsburgh Pirates,Cleveland Guardians,7,1,Pittsburgh Pirates,0.49,0.51
2026-07-18,2026-07-18 23:10:00+00:00,Pittsburgh Pirates,Cleveland Guardians,3,5,Cleveland Guardians,0.5,0.5
2026-07-18,2026-07-18 18:20:00+00:00,Minnesota Twins,Chicago Cubs,2,6,Chicago Cubs,0.43,0.57
2026-07-18,2026-07-18 19:05:00+00:00,New York Mets,Philadelphia Phillies,1,6,Philadelphia Phillies,0.39,0.61
2026-07-18,2026-07-18 19:07:00+00:00,Chicago White Sox,Toronto Blue Jays,0,1,Toronto Blue Jays,0.5,0.5
2026-07-18,2026-07-18 19:10:00+00:00,Cincinnati Reds,Colorado Rockies,3,10,Colorado Rockies,0.52,0.48
2026-07-18,2026-07-18 20:10:00+00:00,Baltimore Orioles,Houston Astros,4,2,Baltimore Orioles,0.5,0.5
2026-07-18,2026-07-18 20:10:00+00:00,San Diego Padres,Kansas City Royals,1,6,Kansas City Royals,0.51,0.49
2026-07-18,2026-07-18 20:10:00+00:00,Tampa Bay Rays,Boston Red Sox,6,7,Boston Red Sox,0.49,0.51
2026-07-18,2026-07-18 20:10:00+00:00,Texas Rangers,Atlanta Braves,7,6,Texas Rangers,0.49,0.51
2026-07-18,2026-07-18 20:10:00+00:00,Miami Marlins,Milwaukee Brewers,6,8,Milwaukee Brewers,0.44,0.56
2026-07-19,2026-07-19 00:08:00+00:00,San Francisco Giants,Seattle Mariners,3,4,Seattle Mariners,0.4,0.6
2026-07-19,2026-07-19 02:07:00+00:00,Detroit Tigers,Los Angeles Angels,7,0,Detroit Tigers,0.59,0.41
2026-07-19,2026-07-19 16:15:00+00:00,Chicago White Sox,Toronto Blue Jays,3,0,Chicago White Sox,0.53,0.47
2026-07-19,2026-07-19 16:35:00+00:00,Los Angeles Dodgers,New York Yankees,8,2,Los Angeles Dodgers,0.53,0.47
2026-07-19,2026-07-19 23:20:00+00:00,Los Angeles Dodgers,New York Yankees,1,2,New York Yankees,0.55,0.45
2026-07-19,2026-07-19 17:35:00+00:00,Tampa Bay Rays,Boston Red Sox,1,6,Boston Red Sox,0.48,0.52
2026-07-19,2026-07-19 17:35:00+00:00,New York Mets,Philadelphia Phillies,6,1,New York Mets,0.54,0.46
2026-07-19,2026-07-19 17:35:00+00:00,Texas Rangers,Atlanta Braves,5,8,Atlanta Braves,0.53,0.47
2026-07-19,2026-07-19 17:40:00+00:00,Pittsburgh Pirates,Cleveland Guardians,7,1,Pittsburgh Pirates,0.49,0.51
2026-07-19,2026-07-19 18:10:00+00:00,Baltimore Orioles,Houston Astros,5,2,Baltimore Orioles,0.48,0.52
2026-07-19,2026-07-19 18:10:00+00:00,San Diego Padres,Kansas City Royals,19,2,San Diego Padres,0.49,0.51
2026-07-19,2026-07-19 18:10:00+00:00,Miami Marlins,Milwaukee Brewers,1,3,Milwaukee Brewers,0.46,0.54
2026-07-19,2026-07-19 18:20:00+00:00,Minnesota Twins,Chicago Cubs,1,10,Chicago Cubs,0.4,0.6
2026-07-19,2026-07-19 19:10:00+00:00,Cincinnati Reds,Colorado Rockies,9,6,Cincinnati Reds,0.61,0.39
2026-07-19,2026-07-19 20:07:00+00:00,Detroit Tigers,Los Angeles Angels,2,3,Los Angeles Angels,0.58,0.42
2026-07-19,2026-07-19 20:10:00+00:00,San Francisco Giants,Seattle Mariners,3,6,Seattle Mariners,0.36,0.64
2026-07-20,2026-07-20 22:40:00+00:00,Minnesota Twins,Cleveland Guardians,4,13,Cleveland Guardians,0.55,0.45
2026-07-20,2026-07-20 23:05:00+00:00,Pittsburgh Pirates,New York Yankees,5,8,New York Yankees,0.49,0.51
2026-07-20,2026-07-20 23:07:00+00:00,Tampa Bay Rays,Toronto Blue Jays,7,1,Tampa Bay Rays,0.4,0.6
2026-07-20,2026-07-20 23:10:00+00:00,Baltimore Orioles,Boston Red Sox,5,6,Boston Red Sox,0.41,0.59
