game_date,start_time_utc,away_team,home_team,away_score,home_score,winner,away_implied_win_prob,home_implied_win_prob
2026-08-23,2026-08-23 18:10:00+00:00,New York Mets,Chicago White Sox,1,2,Chicago White Sox,0.5,0.5
2026-08-23,2026-08-23 18:35:00+00:00,Los Angeles Angels,Texas Rangers,3,5,Texas Rangers,0.41,0.59
2026-08-23,2026-08-23 19:10:00+00:00,Cleveland Guardians,Colorado Rockies,7,2,Cleveland Guardians,0.61,0.39
2026-08-23,2026-08-23 19:15:00+00:00,San Francisco Giants,Boston Red Sox,4,5,Boston Red Sox,0.35,0.65
2026-08-23,2026-08-23 20:10:00+00:00,Pittsburgh Pirates,Los Angeles Dodgers,0,4,Los Angeles Dodgers,0.28,0.72
2026-08-23,2026-08-23 20:10:00+00:00,Chicago Cubs,Seattle Mariners,19,2,Chicago Cubs,0.53,0.47
2026-08-23,2026-08-23 20:10:00+00:00,Minnesota Twins,San Diego Padres,1,8,San Diego Padres,0.43,0.57
2026-08-23,2026-08-23 23:10:00+00:00,Atlanta Braves,Milwaukee Brewers,4,2,Atlanta Braves,0.49,0.51
2026-08-24,2026-08-24 22:40:00+00:00,Tampa Bay Rays,Detroit Tigers,4,1,Tampa Bay Rays,0.56,0.44
2026-08-24,2026-08-24 22:40:00+00:00,Boston Red Sox,Miami Marlins,4,2,Boston Red Sox,0.54,0.46
2026-08-24,2026-08-24 22:45:00+00:00,Colorado Rockies,Washington Nationals,3,13,Washington Nationals,0.35,0.65
2026-08-24,2026-08-24 23:40:00+00:00,Texas Rangers,Chicago White Sox,11,2,Texas Rangers,0.45,0.55
2026-08-25,2026-08-25 01:38:00+00:00,Cleveland Guardians,Los Angeles Angels,4,2,Cleveland Guardians,0.56,0.44
2026-08-25,2026-08-25 01:40:00+00:00,Pittsburgh Pirates,San Diego Padres,3,2,Pittsburgh Pirates,0.49,0.51
2026-08-25,2026-08-25 01:40:00+00:00,Philadelphia Phillies,Seattle Mariners,2,9,Seattle Mariners,0.48,0.52
2026-08-25,2026-08-25 01:45:00+00:00,Cincinnati Reds,San Francisco Giants,0,5,San Francisco Giants,0.5,0.5
2026-08-25,2026-08-25 22:40:00+00:00,Tampa Bay Rays,Detroit Tigers,1,4,Detroit Tigers,0.54,0.46
2026-08-25,2026-08-25 22:40:00+00:00,Boston Red Sox,Miami Marlins,7,3,Boston Red Sox,0.59,0.41
2026-08-25,2026-08-25 22:45:00+00:00,Colorado Rockies,Washington Nationals,3,1,Colorado Rockies,0.41,0.59
2026-08-25,2026-08-25 23:05:00+00:00,Houston Astros,New York Yankees,9,7,Houston Astros,0.43,0.57
2026-08-25,2026-08-25 23:07:00+00:00,Kansas City Royals,Toronto Blue Jays,5,3,Kansas City Royals,0.46,0.54
2026-08-25,2026-08-25 23:10:00+00:00,Milwaukee Brewers,New York Mets,2,3,New York Mets,0.61,0.39
2026-08-25,2026-08-25 23:15:00+00:00,Los Angeles Dodgers,Atlanta Braves,3,4,Atlanta Braves,0.59,0.41
2026-08-25,2026-08-25 23:40:00+00:00,Texas Rangers,Chicago White Sox,7,11,Chicago White Sox,0.51,0.49
2026-08-25,2026-08-25 23:45:00+00:00,Baltimore Orioles,St. Louis Cardinals,13,1,Baltimore Orioles,0.46,0.54
2026-08-26,2026-08-26 01:38:00+00:00,Cleveland Guardians,Los Angeles Angels,8,6,Cleveland Guardians,0.56,0.44
2026-08-26,2026-08-26 01:40:00+00:00,Pittsburgh Pirates,San Diego Padres,1,0,Pittsburgh Pirates,0.46,0.54
2026-08-26,2026-08-26 01:40:00+00:00,Philadelphia Phillies,Seattle Mariners,1,4,Seattle Mariners,0.54,0.46
2026-08-26,2026-08-26 01:45:00+00:00,Cincinnati Reds,San Francisco Giants,1,3,San Francisco Giants,0.49,0.51
2026-08-26,2026-08-26 17:10:00+00:00,Tampa Bay Rays,Detroit Tigers,3,0,Tampa Bay Rays,0.48,0.52
2026-08-26,2026-08-26 19:45:00+00:00,Cincinnati Reds,San Francisco Giants,10,9,Cincinnati Reds,0.48,0.52
2026-08-26,2026-08-26 20:07:00+00:00,Cleveland Guardians,Los Angeles Angels,4,3,Cleveland Guardians,0.57,0.43
2026-08-26,2026-08-26 20:10:00+00:00,Pittsburgh Pirates,San Diego Padres,0,3,San Diego Padres,0.44,0.56
2026-08-26,2026-08-26 20:10:00+00:00,Philadelphia Phillies,Seattle Mariners,6,0,Philadelphia Phillies,0.56,0.44
2026-08-26,2026-08-26 22:40:00+00:00,Boston Red Sox,Miami Marlins,0,4,Miami Marlins,0.55,0.45
2026-08-26,2026-08-26 22:45:00+00:00,Colorado Rockies,Washington Nationals,13,1,Colorado Rockies,0.45,0.55
2026-08-26,2026-08-26 23:05:00+00:00,Houston Astros,New York Yankees,3,9,New York Yankees,0.48,0.52
2026-08-26,2026-08-26 23:07:00+00:00,Kansas City Royals,Toronto Blue Jays,0,3,Toronto Blue Jays,0.41,0.59
2026-08-26,2026-08-26 23:10:00+00:00,Milwaukee Brewers,New York Mets,8,1,Milwaukee Brewers,0.59,0.41
2026-08-26,2026-08-26 23:15:00+00:00,Los Angeles Dodgers,Atlanta Braves,5,6,Atlanta Braves,0.54,0.46
2026-08-26,2026-08-26 23:40:00+00:00,Texas Rangers,Chicago White Sox,4,10,Chicago White Sox,0.47,0.53
2026-08-26,2026-08-26 23:45:00+00:00,Baltimore Orioles,St. Louis Cardinals,8,7,Baltimore Orioles,0.51,0.49
2026-08-27,2026-08-27 17:05:00+00:00,Colorado Rockies,Washington Nationals,1,7,Washington Nationals,0.44,0.56
2026-08-27,2026-08-27 18:15:00+00:00,Baltimore Orioles,St. Louis Cardinals,5,7,St. Louis Cardinals,0.54,0.46
2026-08-27,2026-08-27 23:05:00+00:00,Houston Astros,New York Yankees,5,1,Houston Astros,0.41,0.59
2026-08-27,2026-08-27 23:07:00+00:00,Kansas City Royals,Toronto Blue Jays,13,2,Kansas City Royals,0.51,0.49
2026-08-27,2026-08-27 23:10:00+00:00,Milwaukee Brewers,New York Mets,8,2,Milwaukee Brewers,0.65,0.35
2026-08-27,2026-08-27 23:15:00+00:00,Los Angeles Dodgers,Atlanta Braves,0,1,Atlanta Braves,0.48,0.52
